PM,Avg
15.34,0.0556090099
17.59,0.0436919716
15.39,0.0692161274
14.86,0.0708788983
14.94,0.0682826903
14.8,0.0739176346
14.66,0.0668066425
15.25,0.0673724735
15.62,0.0652924168
15.16,0.0724900326
14.84,0.0710515631
15.03,0.0728862974
14.91,0.0724787741
14.94,0.0654307525
15.09,0.0655553474
15.31,0.0737385442
14.95,0.0678656261
14.75,0.0698115089
14.99,0.0715088364
14.87,0.0641972138
14.89,0.0638080653
15.51,0.0607634094
15.06,0.0632751202
15.31,0.0598563448
14.67,0.0632711167
15.34,0.0599240961
14.87,0.0590047859
15.43,0.0614250614
15.29,0.0597450876
15.81,0.0595699053
15,0.0621581303
15.52,0.062605647
14.62,0.0609673486
14.95,0.0586992252
14.84,0.0591171834
14.7,0.060483871
14.64,0.0625156289
15.12,0.0601604278
15.66,0.0600921413
15.17,0.0621735887
14.8,0.0687825489
14.76,0.0732600733
14.8,0.0773619573
15.04,0.0775268921
14.76,0.0682993463
15.01,0.076900894
14.74,0.0760095012
14.9,0.0679215991
14.68,0.077511869
14.99,0.0679413763
14.84,0.0680735194
14.86,0.0755001888
15.09,0.0761687137
14.81,0.0735158978
15.01,0.0721277692
14.73,0.0762195122
14.74,0.0758437619
14.81,0.0700070007
14.77,0.0756930646
14.81,0.0772200772
14.76,0.0718132855
15.29,0.0474570909
15.11,0.0454407755
15.44,0.048784454
15.75,0.0473298099
15.83,0.0497937118
15.04,0.0489236791
15.72,0.0453995157
15.89,0.0440917108
14.91,0.049329935
15.71,0.0474769398
15.44,0.0491504002
14.99,0.0479309794
15.07,0.049783088
15.61,0.045603101
14.93,0.0490470852
15.78,0.0464333391
15.13,0.0465693884
15.36,0.0493056126
15.59,0.0471475719
15.18,0.0512295082
15.51,0.0490024501
14.77,0.0696281855
14.37,0.0676132522
14.62,0.0695652174
14.94,0.070260603
14.42,0.0738106422
14.72,0.0726696175
14.96,0.0745017694
14.94,0.0728573321
14.51,0.0735294118
14.66,0.0744925197
15.07,0.0694625336
14.36,0.0619067272
14.55,0.0704622322
14.61,0.0738850081
14.86,0.0707805161
14.83,0.0681132626
14.54,0.0719189278
14.99,0.0710437511
14.56,0.0735672773
14.8,0.0752291068
14.82,0.0743178681
14.75,0.0698177756
15.86,0.0500375281
17.54,0.0543183053
16.21,0.0488360736
16.53,0.0534759358
15.7,0.0550711335
15.73,0.0502638854
15.85,0.0554682444
15.49,0.0544662309
15.88,0.051068176
15.29,0.0470721145
17.18,0.0524567232
15.99,0.0482936252
15.88,0.0545454545
17.19,0.051207647
16.7,0.0486854917
16.74,0.0535127284
15.84,0.0483520026
15.84,0.0542152345
15.08,0.0622045285
14.93,0.0575332614
15.08,0.0593225366
15.38,0.0569836647
14.49,0.0578895137
14.8,0.0596480763
14.99,0.0598284917
15.16,0.0619233389
14.55,0.0635266358
14.66,0.0616142945
14.62,0.0632022472
14.48,0.058473833
15.09,0.0615090213
15,0.0566933598
14.62,0.0579566153
15.17,0.0593080725
14.63,0.0595693983
14.72,0.058088876
15.06,0.0598284917
15.17,0.0603095892
15.1,0.0628579411
15.22,0.0617114646
15.28,0.0594106464
14.93,0.0626174076
15.88,0.0493235626
15.38,0.0546112363
15.29,0.0519441971
15.69,0.0508794883
15.74,0.0524266028
16.04,0.0542829226
15.44,0.0515425963
15.13,0.0534723615
15.17,0.0546789564
15.92,0.0550395597
15.17,0.0522349078
15.04,0.0537882281
15.35,0.0539707016
15.05,0.0523403619
15.02,0.052687039
14.98,0.0509758229
15.37,0.0541711809
15.33,0.0489236791
15.52,0.0505670736
15.54,0.0515577815
15.34,0.0525525526
15.34,0.0537056928
15.27,0.0529821375
15.52,0.0590866886
14.99,0.06378455
14.72,0.0603136309
14.62,0.0588668138
15.61,0.0617360168
14.8,0.0604798065
14.92,0.0629238621
14.81,0.0630865074
15.27,0.0602772755
14.64,0.0599970001
14.88,0.0616237868
15,0.0619152449
15.35,0.0584197459
14.93,0.0647202646
14.95,0.0599206052
14.88,0.0590580245
15.25,0.0597952014
14.78,0.0607533414
15.13,0.0605555976
15.76,0.063484002
14.88,0.0617951491
14.83,0.0640432648
15.62,0.0652475328
15.44,0.0625
15,0.0637653435
15.35,0.0642106108
14.93,0.0668560923
15.55,0.0651701665
15.05,0.0646914219
15.73,0.0650759219
15.25,0.0609430944
15.19,0.0614250614
16.17,0.0601097002
14.87,0.062560823
14.86,0.0611854685
14.9,0.0618185905
15.09,0.0653167864
15.44,0.0637977033
15.65,0.0410576449
15.39,0.0435464205
15.89,0.0437368789
15.46,0.0445235975
15.75,0.0415558511
15.75,0.0432525952
15.83,0.0453967678
15.49,0.0429627084
16.21,0.0411015208
16.15,0.0408830744
15.4,0.0433350667
15.49,0.0438404209
15.37,0.0399424828
15.53,0.0406041904
15.63,0.0438212095
15.24,0.0437636761
15.7,0.0434329395
15.81,0.0459805349
16.59,0.0445434298
15.73,0.0507872016
15.61,0.0474270809
16.03,0.0496483244
15.94,0.0441306267
15.63,0.0454793524
15.69,0.0464295663
16.42,0.0491642085
15.51,0.047911077
16.03,0.0521331132
15.33,0.0521172638
15.88,0.0461169526
15.76,0.0516306686
15.56,0.0505007996
15.86,0.044126732
15.68,0.0477144766
15.84,0.0451093903
15.09,0.0448591423
15.29,0.039044198
15.33,0.0390137328
15.25,0.0427642833
15.18,0.0409735311
15.55,0.043504742
15.33,0.0450897286
15.24,0.0440722785
15.22,0.037796466
15.37,0.0404891084
15.19,0.0440658049
15.46,0.0436999272
15.43,0.0421259566
15.27,0.0444444444
15.62,0.0451909317
15.41,0.0443295161
15.27,0.0389650873
15.29,0.0398152572
15.23,0.0400256164
14.79,0.0516475571
14.72,0.0551724138
14.89,0.0582863804
15.08,0.0539665407
14.97,0.0514623896
14.67,0.0562113547
14.67,0.0576867609
14.73,0.0512873115
14.92,0.0504591785
14.96,0.058887035
